Symbol,Company Name
500380,JK Lakshmi Cement Limited
509496,ITD Cementation India Limited
517146,Usha Martin Limited
543227,Happiest Minds Technologies Limited
543945,Netweb Technologies India Limited
544046,INOX India Limited
509631,HEG Limited
509488,Graphite India Limited
543253,Mrs. Bectors Food Specialities Limited
540575,Star Cement Limited
543280,Nazara Technologies Limited
544203,Allied Blenders and Distillers Limited
517506,TTK Prestige Limited
542650,Metropolis Healthcare Limited
506767,Alkyl Amines Chemicals Limited
500265,Maharashtra Seamless Limited
530007,JK Tyre & Industries Limited
509557,Garware Technical Fibres Limited
522205,Praj Industries Limited
543413,Tega Industries Limited
539302,Power Mech Projects Limited
543573,Syrma SGS Technology Limited
543333,CarTrade Tech Limited
500126,Procter & Gamble Health Limited
521070,Alok Industries Limited
513377,MMTC Limited
532757,Voltamp Transformers Limited
500335,Birla Corporation Limited
532375,Tips Music Limited
543398,Latent View Analytics Limited
530343,Genus Power Infrastructures Limited
533269,VA Tech Wabag Limited
523598,The Shipping Corporation of India Limited
544344,Shriram Pistons & Rings Limited
532468,KAMA Holdings Limited
544222,Akums Drugs and Pharmaceuticals Limited
504918,The Sandur Manganese & Iron Ores Limited
544014,Honasa Consumer Limited
533095,Bengal & Assam Company Limited
506655,Sudarshan Chemical Industries Limited
532493,Astra Microwave Products Limited
542904,Ujjivan Small Finance Bank Limited
544022,ASK Automotive Limited
539787,HealthCare Global Enterprises Limited
543490,GMR Power And Urban Infra Limited
519600,CCL Products (India) Limited
533033,Isgec Heavy Engineering Limited
534809,PC Jeweller Limited
541974,Manorama Industries Limited
517385,Symphony Limited
532349,Transport Corporation of India Limited
505714,Gabriel India Limited
530117,Privi Speciality Chemicals Limited
542323,KPI Green Energy Limited
535648,Just Dial Limited
532856,Time Technoplast Limited
524230,Rashtriya Chemicals and Fertilizers Limited
543332,Epigral Limited
543657,Archean Chemical Industries Limited
544356,Ajax Engineering Limited
500690,Gujarat State Fertilizers & Chemicals Limited
532922,Edelweiss Financial Services Limited
500123,ELANTAS Beck India Limited
543290,Powergrid Infrastructure Investment Trust
544288,Zinka Logistics Solutions Limited
500245,Kirloskar Ferrous Industries Limited
543441,CMS Info Systems Limited
505283,Kirloskar Pneumatic Company Limited
532899,Kaveri Seed Company Limited
532668,Aurionpro Solutions Limited
543523,Campus Activewear Limited
501423,Shaily Engineering Plastics Limited
543957,REDTAPE Limited
544057,Happy Forgings Limited
532652,The Karnataka Bank Limited
541019,H.G. Infra Engineering Limited
543243,Equitas Small Finance Bank Limited
540935,Galaxy Surfactants Limited
540203,Sheela Foam Limited
500133,ESAB India Limited
535754,Orient Cement Limited
543596,Tamilnad Mercantile Bank Limited
500655,Garware Hi-Tech Films Limited
500670,Gujarat Narmada Valley Fertilizers & Chemicals Limited
530813,KRBL Limited
532915,Religare Enterprises Limited
504882,National Standard (India) Limited
532443,Cera Sanitaryware Limited
542773,IIFL Capital Services Limited
531599,FDC Limited
544256,P N Gadgil Jewellers Limited
539150,PNC Infratech Limited
533286,MOIL Limited
543358,Sansera Engineering Limited
532790,Tanla Platforms Limited
541578,Varroc Engineering Limited
532553,Welspun Enterprises Limited
500285,SpiceJet Limited
532218,The South Indian Bank Limited
532798,Network18 Media & Investments Limited
505355,Nesco Limited
512463,Lloyds Enterprises Limited
500413,Thomas Cook (India) Limited
533553,TD Power Systems Limited
502219,Borosil Renewables Limited
543336,Chemplast Sanmar Limited
523704,Mastek Limited
533088,Mahindra Holidays & Resorts India Limited
533644,Ujaas Energy Limited
543669,Keystone Realtors Limited
544129,Juniper Hotels Limited
543748,Aarti Pharmalabs Limited
533248,Gujarat Pipavav Port Limited
531543,Jindal Worldwide Limited
544008,Max Estates Limited
544317,Transrail Lighting Limited
534976,V-Mart Retail Limited
500135,EPL Limited
542760,Sterling and Wilson Renewable Energy Limited
500031,Bajaj Electricals Limited
